bgg_id,name,year,type
,'CA': Tactical Naval Warfare in the Pacific 1941-43,,boardgame
12751,007,,boardgame
5867,10 Days in Europe,,boardgame
68606,12 Realms,,boardgame
22278,12 Thieves,2006,boardgame
177590,13 Days: The Cuban Missile Crisis,,boardgame
1899,13 Dead End Drive,1993,boardgame
206150,1754: Conquest – The French and Indian War,2017,boardgame
128996,1775: Rebellion,2013,boardgame
3312,1776,1974,boardgame
,1812,,boardgame
,1812: The Campaign of Napoleon in Russia,,boardgame
94246,1812: The Invasion of Canada,2011,boardgame
1823,1829,1974,boardgame
421,1830: The Game of Railroads and Robber Barons,1986,boardgame
422,1835,1990,boardgame
,1851 Agidingbi,,boardgame
1493,1853,1989,boardgame
423,1856: Railroading in Upper Canada from 1856,1995,boardgame
163841,18CZ,2017,boardgame
4962,1914,1968,boardgame
,1918,,boardgame
234673,1918: Brother Against Brother,,boardgame
27680,1936 Guerra Civil,,boardgame
27708,1960: The Making of the President,,boardgame
26997,1989: Dawn of Freedom,2012,boardgame
36522,2 de Mayo,,boardgame
3377,20 Questions,,boardgame
1275,221B Baker Street,,boardgame
423517,3 Chapters,2024,boardgame
32597,3-6-9,,boardgame
7834,3-stones,,boardgame
25213,30 Seconds,,boardgame
,369 Qí,,boardgame
,4000 A.D.,,boardgame
1435,4000 AD,,boardgame
675,4th Dimension,,boardgame
86073,5 Seconds Rule,,boardgame
,51st State,2010,boardgame
192458,51st State: Master Set,2016,boardgame
357726,51st State: Ultimate Edition,2023,boardgame
4920,5th Fleet: Modern Naval Combat in the Indian Ocean,1989,boardgame
40958,6 nimmt! Junior,,boardgame
515,6-Tage Rennen,,boardgame
3870,7 Ages,,boardgame
,7 Empires,2025,boardgame
68448,7 Wonders,2010,boardgame
,7 Wonders (Second Edition),2020,boardgame
,7 Wonders Duel,2015,boardgame
346703,7 Wonders: Architects,2021,boardgame
,7 Wonders: Duel,2015,boardgame
,7. W obronie Lwowa,2015,boardgame
7243,8th Army,1982,boardgame
38386,A Castle for All Seasons,,boardgame
217949,A Column of Fire,2017,boardgame
127518,A Distant Plain: Insurgency in Afghanistan,2013,boardgame
177736,A Feast for Odin,,boardgame
79828,A Few Acres of Snow,,boardgame
6472,A Game of Thrones,2003,boardgame
229218,A Game of Thrones: Catan – Brotherhood of the Watch,2017,boardgame
39953,A Game of Thrones: The Card Game,2008,boardgame
5476,A Gleam of Bayonets: The Battle of Antietam,,boardgame
701,A House Divided,,boardgame
217,A la carte,1989,boardgame
2061,A Line in the Sand,,boardgame
2666,A Mighty Fortress,1977,boardgame
141517,A Study in Emerald,,boardgame
416,A to Z,,boardgame
99277,A Trip To Mars,,boardgame
19622,A Victory Lost: Crisis in Ukraine 1942-1943,,boardgame
7614,A World at War,2003,boardgame
337324,A.D.E.L.E.,2021,boardgame
,Abacus checkers,,boardgame
526,Abalone,1990,boardgame
21324,Abande,,boardgame
,Abandon All Artichokes,2020,boardgame
179687,ABBA Monopoly,2014,boardgame
906,Abilene,1983,boardgame
65516,Ablaze!,,boardgame
32337,About Time,,boardgame
,Above and Below,,boardgame
155987,Abyss,,boardgame
9060,Accasta,,boardgame
798,Ace of Aces,,boardgame
6504,Ace of Aces: Wingleader,,boardgame
,acey-deucey,,boardgame
,Achi,,boardgame
172454,ACHTUNG!,,boardgame
5,Acquire,1962,boardgame
,Acre: Richard Lionheart's Siege,,boardgame
12646,Acronymble,,boardgame
9577,Across Suez,,boardgame
8790,Activity,,boardgame
38343,Ad Astra,2009,boardgame
,Ada's Dream,2025,boardgame
51195,Adaptoid,,boardgame
,Adel Verpflichtet,1990,boardgame
39647,Adji-boto,,boardgame
2942,Admirals,,boardgame
,Adugo,,boardgame
334,Advance to Boardwalk,,boardgame
177,Advanced Civilization,,boardgame
15126,Advanced Squad Leader: Starter Kit #2,,boardgame
20542,Advanced Squad Leader: Starter Kit #3 (2007),,boardgame
283,Advanced Third Reich,,boardgame
183231,Adventure Land,2015,boardgame
